,TARGET,AVG_DPD,MAX_DPD,COUNT_LATE_PAYMENTS,PCT_LATE_PAYMENTS,AVG_PAYMENT_RATIO,MIN_PAYMENT_RATIO,AVG_PAYMENT_DEFICIT,TOTAL_PAYMENT_DEFICIT,COUNT_UNDERPAID,AVG_DAYS_EARLY,AMT_CREDIT,EXT_SOURCE_2,EXT_SOURCE_3
TARGET,1.0,0.04924625939102862,0.04369097436507002,0.041894544507537046,0.05232581477618401,-0.05141195920428273,-0.0420427384905976,0.047940200256647976,0.04266526800677457,0.04285983526494789,-0.03379604208656266,-0.014620393039784853,-0.14795662522263725,-0.16615458456585036
AVG_DPD,0.04924625939102862,1.0,0.9864181064465841,0.956068458132343,0.9746259193775163,-0.6624334027733075,-0.7556228059005522,0.7565418548521199,0.7550718105141547,0.7783797714853078,-0.31276755506143417,-0.006106104466520629,-0.030623685196087547,-0.08942903390322604
MAX_DPD,0.04369097436507002,0.9864181064465841,1.0,0.9572507526950237,0.9398906919560561,-0.6497981567050645,-0.7669469512634899,0.754943642742352,0.7661582421403684,0.7890345886289822,-0.31269401749821324,0.0032024233632664497,-0.026746208421558906,-0.08270973954741243
COUNT_LATE_PAYMENTS,0.041894544507537046,0.956068458132343,0.9572507526950237,1.0,0.9591272933757409,-0.6415484423765679,-0.7578782078210021,0.7555615952192649,0.7778010844267697,0.801066950723841,-0.3406586219070393,0.0067816946564925535,-0.02355768451482385,-0.08998756859100152
PCT_LATE_PAYMENTS,0.05232581477618401,0.9746259193775163,0.9398906919560561,0.9591272933757409,1.0,-0.6476863337904032,-0.7212944221425863,0.7379277290965459,0.7309545330768396,0.751017924019535,-0.3286505945036491,-0.009725257868366375,-0.031152942241052806,-0.0960428807414537
AVG_PAYMENT_RATIO,-0.05141195920428273,-0.6624334027733075,-0.6497981567050645,-0.6415484423765679,-0.6476863337904032,1.0,0.8292305818951085,-0.8477448671348851,-0.8270200937308707,-0.8275939543692571,0.16749680954056947,0.021307214087549348,0.03706869222802915,0.08592108031341744
MIN_PAYMENT_RATIO,-0.0420427384905976,-0.7556228059005522,-0.7669469512634899,-0.7578782078210021,-0.7212944221425863,0.8292305818951085,1.0,-0.969361218557182,-0.9717318106815136,-0.9637967466081085,0.20153713198997955,-0.0038812167981763534,0.021871438536701683,0.08264552868416258
AVG_PAYMENT_DEFICIT,0.047940200256647976,0.7565418548521199,0.754943642742352,0.7555615952192649,0.7379277290965459,-0.8477448671348851,-0.969361218557182,1.0,0.9896531131305256,0.9677445391444311,-0.18903300661928618,0.0038526635041275545,-0.022007210302115478,-0.09228228629917473
TOTAL_PAYMENT_DEFICIT,0.04266526800677457,0.7550718105141547,0.7661582421403684,0.7778010844267697,0.7309545330768396,-0.8270200937308707,-0.9717318106815136,0.9896531131305256,1.0,0.9802128639119889,-0.20545224275141463,0.01119197676614088,-0.017922642989070498,-0.08876758629560433
COUNT_UNDERPAID,0.04285983526494789,0.7783797714853078,0.7890345886289822,0.801066950723841,0.751017924019535,-0.8275939543692571,-0.9637967466081085,0.9677445391444311,0.9802128639119889,1.0,-0.21372234203818322,0.002787727845780987,-0.021883584380793082,-0.08960386929754743
AVG_DAYS_EARLY,-0.03379604208656266,-0.31276755506143417,-0.31269401749821324,-0.3406586219070393,-0.3286505945036491,0.16749680954056947,0.20153713198997955,-0.18903300661928618,-0.20545224275141463,-0.21372234203818322,1.0,-0.03569108639468074,-0.007003000623950363,0.05944101638842967
AMT_CREDIT,-0.014620393039784853,-0.006106104466520629,0.0032024233632664497,0.0067816946564925535,-0.009725257868366375,0.021307214087549348,-0.0038812167981763534,0.0038526635041275545,0.01119197676614088,0.002787727845780987,-0.03569108639468074,1.0,0.12496277068790031,0.021847891349539666
EXT_SOURCE_2,-0.14795662522263725,-0.030623685196087547,-0.026746208421558906,-0.02355768451482385,-0.031152942241052806,0.03706869222802915,0.021871438536701683,-0.022007210302115478,-0.017922642989070498,-0.021883584380793082,-0.007003000623950363,0.12496277068790031,1.0,0.10457891761087895
EXT_SOURCE_3,-0.16615458456585036,-0.08942903390322604,-0.08270973954741243,-0.08998756859100152,-0.0960428807414537,0.08592108031341744,0.08264552868416258,-0.09228228629917473,-0.08876758629560433,-0.08960386929754743,0.05944101638842967,0.021847891349539666,0.10457891761087895,1.0
